model,context_length,noise_ratio,entropy,correct
GPT2-Small,32,0.3,5.057302832603455,1
GPT2-Small,32,0.4,5.024805665016174,0
GPT2-Small,32,0.4,5.000121116638184,0
GPT2-Small,32,0.4,4.968594491481781,0
GPT2-Small,32,0.4,5.2359592119852705,0
GPT2-Small,32,0.4,4.910015265146892,0
GPT2-Small,32,0.4,5.023979624112447,1
GPT2-Small,32,0.4,5.081464191277822,1
GPT2-Small,32,0.4,5.20597783724467,0
GPT2-Small,32,0.4,5.07904589176178,0
GPT2-Small,32,0.4,5.0658384958903,0
GPT2-Small,32,0.4,5.187310794989268,0
GPT2-Small,32,0.4,4.958697080612183,0
GPT2-Small,32,0.4,5.012316644191742,0
GPT2-Small,32,0.4,5.066451946894328,0
GPT2-Small,32,0.4,5.0784518122673035,1
GPT2-Small,32,0.4,5.129401882489522,0
GPT2-Small,32,0.4,5.042161146799724,0
GPT2-Small,32,0.4,5.016163726647695,0
GPT2-Small,32,0.4,4.946807245413463,0
GPT2-Small,32,0.4,4.996709783871968,0
GPT2-Small,32,0.4,5.109799365202586,0
GPT2-Small,32,0.4,5.306008438269298,0
GPT2-Small,32,0.4,5.026699999968211,0
GPT2-Small,32,0.4,5.071952223777771,0
GPT2-Small,32,0.4,5.2841412623723345,0
GPT2-Small,32,0.4,5.130961179733276,0
GPT2-Small,32,0.4,5.180877447128296,1
GPT2-Small,32,0.4,5.1496568123499555,0
GPT2-Small,32,0.4,5.259383499622345,0
GPT2-Small,32,0.4,5.044949054718018,1
GPT2-Small,32,0.4,5.134499192237854,0
GPT2-Small,32,0.4,4.974226435025533,0
GPT2-Small,32,0.4,5.064964969952901,0
GPT2-Small,32,0.4,5.216365138689677,0
GPT2-Small,32,0.4,5.2439680099487305,1
GPT2-Small,32,0.4,5.061514377593994,0
GPT2-Small,32,0.4,5.186824679374695,0
GPT2-Small,32,0.4,5.0786862174669904,0
GPT2-Small,32,0.4,5.128780166308085,0
GPT2-Small,32,0.4,5.105813880761464,0
GPT2-Small,32,0.4,5.1427479187647505,0
GPT2-Small,32,0.4,5.122235020001729,1
GPT2-Small,32,0.4,5.01803461710612,0
GPT2-Small,32,0.4,4.986206412315369,1
GPT2-Small,32,0.4,4.900051752726237,0
GPT2-Small,32,0.4,5.2050630648930865,0
GPT2-Small,32,0.4,4.950166662534078,0
GPT2-Small,32,0.4,5.026468276977539,0
GPT2-Small,32,0.4,5.2256538073221845,1
GPT2-Small,32,0.4,5.047278702259064,0
GPT2-Small,32,0.4,5.190415183703105,0
GPT2-Small,32,0.4,5.008847693602244,0
GPT2-Small,32,0.4,5.161559224128723,1
GPT2-Small,32,0.4,4.929330468177795,0
GPT2-Small,32,0.4,5.202242136001587,0
GPT2-Small,32,0.4,5.0274578134218855,0
GPT2-Small,32,0.4,5.172369917233785,1
GPT2-Small,32,0.4,5.085485855738322,0
GPT2-Small,32,0.4,5.285580078760783,0
GPT2-Small,32,0.4,5.076924443244934,0
GPT2-Small,32,0.4,5.108756879965465,0
GPT2-Small,32,0.4,5.130734443664551,0
GPT2-Small,32,0.4,5.108925064404805,1
GPT2-Small,32,0.4,5.018580039342244,0
GPT2-Small,32,0.4,5.256873965263367,0
GPT2-Small,32,0.4,5.139966408411662,0
GPT2-Small,32,0.4,5.077323118845622,0
GPT2-Small,32,0.4,5.191559473673503,0
GPT2-Small,32,0.4,5.178340315818787,1
GPT2-Small,32,0.4,5.047114769617717,1
GPT2-Small,32,0.4,4.974802474180858,0
GPT2-Small,32,0.4,4.887169023354848,0
GPT2-Small,32,0.4,5.146106461683909,0
GPT2-Small,32,0.4,5.100770115852356,0
GPT2-Small,32,0.4,4.99427608648936,0
GPT2-Small,32,0.4,4.979496359825134,0
GPT2-Small,32,0.4,5.103291352589925,0
GPT2-Small,32,0.4,5.002320686976115,0
GPT2-Small,32,0.4,5.2273785670598345,0
GPT2-Small,32,0.4,4.812834958235423,1
GPT2-Small,32,0.4,5.048126379648845,0
GPT2-Small,32,0.4,5.1133809089660645,0
GPT2-Small,32,0.4,4.892186125119527,0
GPT2-Small,32,0.4,5.176273961861928,0
GPT2-Small,32,0.4,5.024039785067241,0
GPT2-Small,32,0.4,4.974465449651082,0
GPT2-Small,32,0.4,5.076974193255107,0
GPT2-Small,32,0.4,4.824345330397288,0
GPT2-Small,32,0.4,4.769376794497172,0
GPT2-Small,32,0.4,5.0101362864176435,0
GPT2-Small,64,0.0,4.431362907091777,0
GPT2-Small,64,0.0,4.449443519115448,0
GPT2-Small,64,0.0,4.425415118535359,1
GPT2-Small,64,0.0,4.372389495372772,1
GPT2-Small,64,0.0,4.397705952326457,1
GPT2-Small,64,0.0,4.440621932347615,1
GPT2-Small,64,0.0,4.41664715607961,1
GPT2-Small,64,0.0,4.4052475690841675,0
GPT2-Small,64,0.0,4.338589310646057,1
GPT2-Small,64,0.0,4.206431229909261,1
GPT2-Small,64,0.0,4.353184262911479,1
GPT2-Small,64,0.0,4.473333219687144,1
GPT2-Small,64,0.0,4.523908317089081,1
GPT2-Small,64,0.0,4.408405542373657,1
GPT2-Small,64,0.0,4.302160640557607,1
GPT2-Small,64,0.0,4.551913142204285,0
GPT2-Small,64,0.0,4.3990422288576765,1
GPT2-Small,64,0.0,4.450172583262126,1
GPT2-Small,64,0.0,4.3732041120529175,1
GPT2-Small,64,0.0,4.452249785264333,0
GPT2-Small,64,0.0,4.482270161310832,0
GPT2-Small,64,0.0,4.543351789315541,1
GPT2-Small,64,0.0,4.362496256828308,1
GPT2-Small,64,0.0,4.531553228696187,1
GPT2-Small,64,0.0,4.5206688443819685,1
GPT2-Small,64,0.0,4.365552246570587,1
GPT2-Small,64,0.0,4.458123465379079,1
GPT2-Small,64,0.0,4.407958269119263,1
GPT2-Small,64,0.0,4.417383889357249,1
GPT2-Small,64,0.0,4.348492344220479,1
GPT2-Small,64,0.0,4.584550281365712,1
GPT2-Small,64,0.0,4.464506308237712,0
GPT2-Small,64,0.0,4.5711426337560015,1
GPT2-Small,64,0.0,4.402008454004924,0
GPT2-Small,64,0.0,4.359430531660716,1
GPT2-Small,64,0.0,4.580532014369965,1
GPT2-Small,64,0.0,4.410240014394124,1
GPT2-Small,64,0.0,4.411272287368774,1
GPT2-Small,64,0.0,4.373028993606567,1
GPT2-Small,64,0.0,4.411843359470367,0
GPT2-Small,64,0.0,4.361336370309194,1
GPT2-Small,64,0.0,4.513374189535777,0
GPT2-Small,64,0.0,4.395248591899872,1
GPT2-Small,64,0.0,4.413175106048584,1
GPT2-Small,64,0.0,4.417653659979503,1
GPT2-Small,64,0.0,4.319687068462372,1
GPT2-Small,64,0.0,4.4104615449905396,1
GPT2-Small,64,0.0,4.343725879987081,1
GPT2-Small,64,0.0,4.4294905463854475,1
GPT2-Small,64,0.0,4.37625237305959,1
GPT2-Small,64,0.0,4.478336612383525,1
GPT2-Small,64,0.0,4.368146399656932,1
GPT2-Small,64,0.0,4.432412525018056,1
GPT2-Small,64,0.0,4.525165279706319,0
GPT2-Small,64,0.0,4.414624710877736,1
GPT2-Small,64,0.0,4.4567782282829285,0
GPT2-Small,64,0.0,4.480858186880748,1
GPT2-Small,64,0.0,4.3679158091545105,1
GPT2-Small,64,0.0,4.495444476604462,0
GPT2-Small,64,0.0,4.296722590923309,1
GPT2-Small,64,0.0,4.581223845481873,0
GPT2-Small,64,0.0,4.448293387889862,1
GPT2-Small,64,0.0,4.509015917778015,0
GPT2-Small,64,0.0,4.345290998617808,1
GPT2-Small,64,0.0,4.463191608587901,1
GPT2-Small,64,0.0,4.521806697050731,0
GPT2-Small,64,0.0,4.389784197012584,1
GPT2-Small,64,0.0,4.389203687508901,0
GPT2-Small,64,0.0,4.402391652266185,1
GPT2-Small,64,0.0,4.460185368855794,1
GPT2-Small,64,0.0,4.29000590244929,1
GPT2-Small,64,0.0,4.354552129904429,1
GPT2-Small,64,0.0,4.462325195471446,1
GPT2-Small,64,0.0,4.4905290603637695,0
GPT2-Small,64,0.0,4.442856987317403,1
GPT2-Small,64,0.0,4.3997857968012495,1
GPT2-Small,64,0.0,4.416429956754048,1
GPT2-Small,64,0.0,4.460558513800303,1
GPT2-Small,64,0.0,4.36087699731191,1
GPT2-Small,64,0.0,4.3506455818812055,1
GPT2-Small,64,0.0,4.48854786157608,0
GPT2-Small,64,0.0,4.361950119336446,1
GPT2-Small,64,0.0,4.379378159840901,1
GPT2-Small,64,0.0,4.4848483602205915,1
GPT2-Small,64,0.0,4.3365245660146075,1
GPT2-Small,64,0.0,4.369670828183492,1
GPT2-Small,64,0.0,4.502384026845296,0
GPT2-Small,64,0.0,4.407617270946503,1
